34, 82 : 43, 235 : 154, 4 : 156, 105
46, 37 : 43, 235 : 154, 4 : 156, 105
42, 166 : 43, 235 : 154, 4 : 156, 105
46, 34 : 43, 235 : 154, 4 : 156, 105
123, 21 : 43, 235 : 154, 4 : 156, 105
206, 38 : 43, 235 : 154, 4 : 156, 105
32, 3 : 43, 235 : 154, 4 : 156, 105
59, 115 : 43, 235 : 154, 4 : 156, 105
228, 22 : 43, 235 : 154, 4 : 156, 105
55, 52 : 43, 235 : 154, 4 : 156, 105
41, 82 : 43, 235 : 154, 4 : 156, 105
184, 6 : 43, 235 : 154, 4 : 156, 105
98, 52 : 43, 235 : 154, 4 : 156, 105
43, 28 : 43, 235 : 154, 4 : 156, 105
49, 113 : 43, 235 : 154, 4 : 156, 105
70, 38 : 43, 235 : 154, 4 : 156, 105
100, 110 : 43, 235 : 154, 4 : 156, 105
79, 140 : 43, 235 : 154, 4 : 156, 105
18, 60 : 43, 235 : 154, 4 : 156, 105
45, 88 : 43, 235 : 154, 4 : 156, 105
224, 46 : 43, 235 : 154, 4 : 156, 105
54, 19 : 43, 235 : 154, 4 : 156, 105
38, 82 : 43, 235 : 154, 4 : 156, 105
93, 43 : 43, 235 : 154, 4 : 156, 105
98, 59 : 43, 235 : 154, 4 : 156, 105
109, 34 : 43, 235 : 154, 4 : 156, 105
156, 80 : 43, 235 : 154, 4 : 156, 105
104, 37 : 43, 235 : 154, 4 : 156, 105
102, 86 : 43, 235 : 154, 4 : 156, 105
51, 136 : 43, 235 : 154, 4 : 156, 105
35, 85 : 43, 235 : 154, 4 : 156, 105
27, 111 : 43, 235 : 154, 4 : 156, 105
99, 164 : 43, 235 : 154, 4 : 156, 105
66, 25 : 43, 235 : 154, 4 : 156, 105
149, 41 : 43, 235 : 154, 4 : 156, 105
224, 109 : 43, 235 : 154, 4 : 156, 105
89, 12 : 43, 235 : 154, 4 : 156, 105
134, 120 : 43, 235 : 154, 4 : 156, 105
65, 117 : 43, 235 : 154, 4 : 156, 105
37, 61 : 43, 235 : 154, 4 : 156, 105
56, 49 : 43, 235 : 154, 4 : 156, 105
129, 121 : 43, 235 : 154, 4 : 156, 105
34, 17 : 43, 235 : 154, 4 : 156, 105
155, 93 : 43, 235 : 154, 4 : 156, 105
149, 41 : 43, 235 : 154, 4 : 156, 105
0, 61 : 43, 235 : 154, 4 : 156, 105
20, 64 : 43, 235 : 154, 4 : 156, 105
106, 36 : 43, 235 : 154, 4 : 156, 105
26, 19 : 43, 235 : 154, 4 : 156, 105
84, 86 : 43, 235 : 154, 4 : 156, 105
75, 51 : 43, 235 : 154, 4 : 156, 105
9, 53 : 43, 235 : 154, 4 : 156, 105
98, 62 : 43, 235 : 154, 4 : 156, 105
165, 136 : 43, 235 : 154, 4 : 156, 105
58, 32 : 43, 235 : 154, 4 : 156, 105
121, 60 : 43, 235 : 154, 4 : 156, 105
71, 86 : 43, 235 : 154, 4 : 156, 105
62, 68 : 43, 235 : 154, 4 : 156, 105
69, 93 : 43, 235 : 154, 4 : 156, 105
96, 68 : 43, 235 : 154, 4 : 156, 105
83, 52 : 43, 235 : 154, 4 : 156, 105
131, 28 : 43, 235 : 154, 4 : 156, 105
104, 26 : 43, 235 : 154, 4 : 156, 105
48, 59 : 43, 235 : 154, 4 : 156, 105
5, 88 : 43, 235 : 154, 4 : 156, 105
82, 138 : 43, 235 : 154, 4 : 156, 105
27, 49 : 43, 235 : 154, 4 : 156, 105
80, 46 : 43, 235 : 154, 4 : 156, 105
71, 25 : 43, 235 : 154, 4 : 156, 105
32, 52 : 43, 235 : 154, 4 : 156, 105
76, 69 : 43, 235 : 154, 4 : 156, 105
30, 16 : 43, 235 : 154, 4 : 156, 105
21, 35 : 43, 235 : 154, 4 : 156, 105
88, 99 : 43, 235 : 154, 4 : 156, 105
237, 4 : 43, 235 : 154, 4 : 156, 105
39, 40 : 43, 235 : 154, 4 : 156, 105
158, 76 : 43, 235 : 154, 4 : 156, 105
182, 153 : 43, 235 : 154, 4 : 156, 105
45, 33 : 43, 235 : 154, 4 : 156, 105
118, 88 : 43, 235 : 154, 4 : 156, 105
129, 92 : 43, 235 : 154, 4 : 156, 105
39, 25 : 43, 235 : 154, 4 : 156, 105
133, 88 : 43, 235 : 154, 4 : 156, 105
53, 61 : 43, 235 : 154, 4 : 156, 105
52, 53 : 43, 235 : 154, 4 : 156, 105
26, 53 : 43, 235 : 154, 4 : 156, 105
235, 46 : 43, 235 : 154, 4 : 156, 105
35, 58 : 43, 235 : 154, 4 : 156, 105
101, 84 : 43, 235 : 154, 4 : 156, 105
126, 85 : 43, 235 : 154, 4 : 156, 105
63, 73 : 43, 235 : 154, 4 : 156, 105
52, 109 : 43, 235 : 154, 4 : 156, 105
134, 122 : 43, 235 : 154, 4 : 156, 105
44, 41 : 43, 235 : 154, 4 : 156, 105
136, 70 : 43, 235 : 154, 4 : 156, 105
101, 101 : 43, 235 : 154, 4 : 156, 105
59, 61 : 43, 235 : 154, 4 : 156, 105
116, 46 : 43, 235 : 154, 4 : 156, 105
103, 102 : 43, 235 : 154, 4 : 156, 105
72, 6 : 43, 235 : 154, 4 : 156, 105
